description,silhouette,fabric,neckline,sleeve,length,embellishment,color,category
"Maxi Jersey Prom Gown with Sweetheart, Sleeveless, Layered bodice and Red shade in a Ball Gown silhouette.",Ball Gown,Jersey,Sweetheart,Sleeveless,Maxi,Layered,Red,Prom Gown
"Stylish A-line dress crafted from Chiffon featuring Boat Neck, Puff Sleeves, Embroidered accents and Emerald color for a Evening Gown.",A-line,Chiffon,Boat Neck,Puff Sleeves,Floor Length,Embroidered,Emerald,Evening Gown
"Elegant Fit and Flare Crepe Cocktail Dress with Sweetheart, Strapless, Floor Length design, Layered detailing in Navy Blue.",Fit and Flare,Crepe,Sweetheart,Strapless,Floor Length,Layered,Navy Blue,Cocktail Dress
"Midi Lace Prom Gown with One Shoulder, Three Quarter Sleeves, Beaded bodice and Black shade in a Mermaid silhouette.",Mermaid,Lace,One Shoulder,Three Quarter Sleeves,Midi,Beaded,Black,Prom Gown
"Elegant Mermaid Cotton Evening Gown with Sweetheart, Puff Sleeves, Maxi design, Feathers detailing in Gold.",Mermaid,Cotton,Sweetheart,Puff Sleeves,Maxi,Feathers,Gold,Evening Gown
"Maxi Satin Casual Dress with Sweetheart, Short Sleeves, Ruched bodice and Royal Navy shade in a Sheath silhouette.",Sheath,Satin,Sweetheart,Short Sleeves,Maxi,Ruched,Royal Navy,Casual Dress
"Premium Cotton Bridesmaid Dress with One Shoulder, Strapless, Midi cut, Ruched details and elegant Navy Blue finish in Sheath style.",Sheath,Cotton,One Shoulder,Strapless,Midi,Ruched,Navy Blue,Bridesmaid Dress
"Stylish A-line dress crafted from Velvet featuring Square Neckline, Three Quarter Sleeves, Pleated accents and Burgundy color for a Casual Dress.",A-line,Velvet,Square Neckline,Three Quarter Sleeves,Knee Length,Pleated,Burgundy,Casual Dress
"Floor Length Lace Casual Dress with Halter, Three Quarter Sleeves, Corset bodice and Pink shade in a Mermaid silhouette.",Mermaid,Lace,Halter,Three Quarter Sleeves,Floor Length,Corset,Pink,Casual Dress
"Premium Cotton Prom Gown with Off Shoulder, Short Sleeves, Maxi cut, Beaded details and elegant Sage finish in Mermaid style.",Mermaid,Cotton,Off Shoulder,Short Sleeves,Maxi,Beaded,Sage,Prom Gown
"Premium Jersey Cocktail Dress with One Shoulder, Strapless, Floor Length cut, Sequins details and elegant Green finish in Mermaid style.",Mermaid,Jersey,One Shoulder,Strapless,Floor Length,Sequins,Green,Cocktail Dress
"Premium Crepe Formal Dress with Square Neckline, Sleeveless, Floor Length cut, Embroidered details and elegant Black finish in A-line style.",A-line,Crepe,Square Neckline,Sleeveless,Floor Length,Embroidered,Black,Formal Dress
"Sage Cotton Empire dress featuring Sweetheart, Short Sleeves, and None finish. Perfect as a Casual Dress.",Empire,Cotton,Sweetheart,Short Sleeves,Midi,None,Sage,Casual Dress
"Premium Crepe Cocktail Dress with Round Neckline, Puff Sleeves, Maxi cut, Pleated details and elegant Sage finish in Fit and Flare style.",Fit and Flare,Crepe,Round Neckline,Puff Sleeves,Maxi,Pleated,Sage,Cocktail Dress
"Stylish Sheath dress crafted from Crepe featuring V Neckline, Puff Sleeves, Corset accents and Pink color for a Casual Dress.",Sheath,Crepe,V Neckline,Puff Sleeves,Maxi,Corset,Pink,Casual Dress
"Elegant Mermaid Chiffon Evening Gown with Off Shoulder, Puff Sleeves, Mini design, Pleated detailing in Blush.",Mermaid,Chiffon,Off Shoulder,Puff Sleeves,Mini,Pleated,Blush,Evening Gown
"Blush Chiffon Empire dress featuring Round Neckline, Cap Sleeves, and Corset finish. Perfect as a Cocktail Dress.",Empire,Chiffon,Round Neckline,Cap Sleeves,Mini,Corset,Blush,Cocktail Dress
"Premium Jersey Casual Dress with Square Neckline, Cap Sleeves, Maxi cut, Feathers details and elegant Blush finish in Fit and Flare style.",Fit and Flare,Jersey,Square Neckline,Cap Sleeves,Maxi,Feathers,Blush,Casual Dress
"Gold Tulle Ball Gown dress featuring Round Neckline, Short Sleeves, and Feathers finish. Perfect as a Cocktail Dress.",Ball Gown,Tulle,Round Neckline,Short Sleeves,Floor Length,Feathers,Gold,Cocktail Dress
"Gold Chiffon A-line dress featuring Boat Neck, Cap Sleeves, and Feathers finish. Perfect as a Wedding Dress.",A-line,Chiffon,Boat Neck,Cap Sleeves,Floor Length,Feathers,Gold,Wedding Dress
"Elegant Ball Gown Crepe Formal Dress with Square Neckline, Short Sleeves, Midi design, Sequins detailing in Pink.",Ball Gown,Crepe,Square Neckline,Short Sleeves,Midi,Sequins,Pink,Formal Dress
"Elegant A-line Jersey Bridesmaid Dress with V Neckline, Short Sleeves, Knee Length design, Embroidered detailing in White.",A-line,Jersey,V Neckline,Short Sleeves,Knee Length,Embroidered,White,Bridesmaid Dress
"Premium Chiffon Cocktail Dress with Off Shoulder, Three Quarter Sleeves, Mini cut, Feathers details and elegant Sage finish in Sheath style.",Sheath,Chiffon,Off Shoulder,Three Quarter Sleeves,Mini,Feathers,Sage,Cocktail Dress
"Premium Chiffon Prom Gown with Sweetheart, Puff Sleeves, Midi cut, Sequins details and elegant Dusty Blue finish in Ball Gown style.",Ball Gown,Chiffon,Sweetheart,Puff Sleeves,Midi,Sequins,Dusty Blue,Prom Gown
"Knee Length Tulle Wedding Dress with Off Shoulder, Long Sleeves, None bodice and Royal Navy shade in a Mermaid silhouette.",Mermaid,Tulle,Off Shoulder,Long Sleeves,Knee Length,None,Royal Navy,Wedding Dress
"Maxi Chiffon Casual Dress with Sweetheart, Three Quarter Sleeves, None bodice and Sage shade in a Mermaid silhouette.",Mermaid,Chiffon,Sweetheart,Three Quarter Sleeves,Maxi,None,Sage,Casual Dress
"Stylish Fit and Flare dress crafted from Jersey featuring Square Neckline, Three Quarter Sleeves, Feathers accents and Red color for a Evening Gown.",Fit and Flare,Jersey,Square Neckline,Three Quarter Sleeves,Maxi,Feathers,Red,Evening Gown
"Dusty Blue Crepe Ball Gown dress featuring Off Shoulder, Strapless, and Corset finish. Perfect as a Prom Gown.",Ball Gown,Crepe,Off Shoulder,Strapless,Knee Length,Corset,Dusty Blue,Prom Gown
"Red Chiffon Sheath dress featuring Halter, Cap Sleeves, and None finish. Perfect as a Wedding Dress.",Sheath,Chiffon,Halter,Cap Sleeves,Floor Length,None,Red,Wedding Dress
"Elegant Mermaid Cotton Evening Gown with Square Neckline, Three Quarter Sleeves, Mini design, Layered detailing in Dusty Blue.",Mermaid,Cotton,Square Neckline,Three Quarter Sleeves,Mini,Layered,Dusty Blue,Evening Gown
"Dusty Blue Cotton Empire dress featuring V Neckline, Long Sleeves, and Pleated finish. Perfect as a Casual Dress.",Empire,Cotton,V Neckline,Long Sleeves,Maxi,Pleated,Dusty Blue,Casual Dress
"Black Cotton Empire dress featuring One Shoulder, Short Sleeves, and Corset finish. Perfect as a Cocktail Dress.",Empire,Cotton,One Shoulder,Short Sleeves,Midi,Corset,Black,Cocktail Dress
"Premium Satin Cocktail Dress with One Shoulder, Short Sleeves, Floor Length cut, Sequins details and elegant Blush finish in Fit and Flare style.",Fit and Flare,Satin,One Shoulder,Short Sleeves,Floor Length,Sequins,Blush,Cocktail Dress
"Floor Length Velvet Evening Gown with Halter, Cap Sleeves, Ruched bodice and Navy Blue shade in a Mermaid silhouette.",Mermaid,Velvet,Halter,Cap Sleeves,Floor Length,Ruched,Navy Blue,Evening Gown
"Maxi Crepe Evening Gown with One Shoulder, Sleeveless, Ruched bodice and Royal Navy shade in a Empire silhouette.",Empire,Crepe,One Shoulder,Sleeveless,Maxi,Ruched,Royal Navy,Evening Gown
"Premium Chiffon Bridesmaid Dress with Off Shoulder, Three Quarter Sleeves, Knee Length cut, Pleated details and elegant Navy Blue finish in Sheath style.",Sheath,Chiffon,Off Shoulder,Three Quarter Sleeves,Knee Length,Pleated,Navy Blue,Bridesmaid Dress
